카테고리,기관명,주소,위도,경도,정류소타입
버스정류장,평창동산림제3초소,,37.61735605,126.9771031,마을버스
버스정류장,배화여중고,,37.57677876,126.9676986,마을버스
버스정류장,대학로입구.이화사거리,,37.57598417,127.0025802,마을버스
버스정류장,운현궁,,37.57527161,126.9869814,마을버스
버스정류장,상명대입구,,37.60002101,126.9569583,마을버스
버스정류장,삼청동주민센터,,37.58468468,126.9822105,마을버스
버스정류장,박노수미술관,,37.58102656,126.9668945,마을버스
버스정류장,김창열.윤명로화실,,37.616305,126.9783685,마을버스
버스정류장,사직공원.경복궁역입구,,37.57622069,126.9689039,마을버스
버스정류장,충신시장,,37.57497665,127.0054049,마을버스
버스정류장,안국역2번출구앞,,37.57717282,126.9861183,마을버스
버스정류장,금융연수원,,37.58587767,126.9818479,마을버스
버스정류장,감람산기도원,,37.61594393,126.979873,마을버스
버스정류장,카센터.터널앞,,37.57409862,126.9658895,마을버스
버스정류장,재동초등학교,,37.57879109,126.9853617,마을버스
버스정류장,삼청공원삼거리.옥호정터,,37.58741852,126.9817445,마을버스
버스정류장,이화사거리,,37.57532007,127.0022813,마을버스
버스정류장,연화정사,,37.614649,126.9794938,마을버스
버스정류장,대신중고,,37.57261781,126.9616893,마을버스
버스정류장,현대사거리,,37.57924178,126.9866354,마을버스
버스정류장,교남동주민센터,,37.57218198,126.9613278,마을버스
버스정류장,부암동주민센터.무계원,,37.59293534,126.9637682,마을버스
버스정류장,형제봉입구,,37.61286432,126.9816862,마을버스
버스정류장,교남동새마을금고,,37.57149436,126.9623375,마을버스
버스정류장,창신초교,,37.57603721,127.0157201,마을버스
버스정류장,가회동주민센터,,37.57994265,126.9851294,마을버스
버스정류장,볼링장,,37.57925544,126.9879589,마을버스
버스정류장,석파정.서울미술관,,37.59476432,126.9637824,마을버스
버스정류장,지구촌교회,,37.61310603,126.9792421,마을버스
버스정류장,월암공원,,37.57122609,126.9646919,마을버스
버스정류장,숭인1동주민센터,,37.577415,127.0155607,마을버스
버스정류장,북촌한옥마을입구.정세권활동터,,37.58128077,126.9851687,마을버스
버스정류장,하림각,,37.59768473,126.9629664,마을버스
버스정류장,보현빌라,,37.61538226,126.9784206,마을버스
버스정류장,스위스대사관,,37.57014132,126.9656961,마을버스
버스정류장,안국선원.삼거리,,37.58274325,126.9852205,마을버스
버스정류장,세검정교회,,37.59938802,126.9600292,마을버스
버스정류장,혜화동로터리,,37.58591961,127.0010032,마을버스
버스정류장,김종영미술관,,37.61326379,126.9781123,마을버스
버스정류장,서울시교육청,,37.56938168,126.9666999,마을버스
버스정류장,창신쌍용1단지.종로센트레빌아파트,,37.58032282,127.0155693,마을버스
버스정류장,사우디대사관.북촌힐스,,37.58386331,126.9852486,마을버스
버스정류장,상명대입구,,37.59985447,126.9574023,마을버스
버스정류장,혜화초등학교,,37.58738929,126.9999909,마을버스
버스정류장,강북삼성병원,,37.56853152,126.9683377,마을버스
버스정류장,청룡사.보문파크뷰자이아파트,,37.57978465,127.0171509,마을버스
버스정류장,감사원,,37.58626565,126.9855618,마을버스
버스정류장,국민생활관,,37.5896276,126.9993138,마을버스
버스정류장,종로센트레빌후문.e편한세상보문아파트,,37.58189784,127.0162354,마을버스
버스정류장,통일부,,37.58753085,126.9861073,마을버스
버스정류장,서울국제고등학교,,37.58907429,126.9971408,마을버스
버스정류장,성대후문.와룡공원,,37.58915228,126.989734,마을버스
버스정류장,상명초등학교,,37.60090493,126.9568174,마을버스
버스정류장,새마을금고,,37.58784069,126.996569,마을버스
버스정류장,경진빌라,,37.60186409,126.9579482,마을버스
버스정류장,명륜시장.성대후문,,37.58872461,126.9952305,마을버스
버스정류장,완성빌라,,37.60333997,126.9576665,마을버스
버스정류장,양현관,,37.589768,126.9937686,마을버스
버스정류장,상명대후문,,37.60407158,126.9574634,마을버스
버스정류장,샘미용실.종로구청소년상담복지센터,,37.59025457,126.9934084,마을버스
버스정류장,산정빌라,,37.60528358,126.9575782,마을버스
버스정류장,구기빌라,,37.60613345,126.9579809,마을버스
버스정류장,마트앞,,37.60669871,126.9587565,마을버스
버스정류장,국민은행.세검정지점,,37.60495417,126.9608727,마을버스
버스정류장,혜화역4번출구,,37.58350804,127.0015539,마을버스
버스정류장,방송통신대앞,,37.57869736,127.0019927,마을버스
버스정류장,서울대치과대학,,37.5774083,126.997801,마을버스
버스정류장,효제초교.연동교회.김마리아활동터,,37.57364134,127.0022088,마을버스
버스정류장,성균관대학교,,37.58846387,126.9900036,마을버스
버스정류장,서울대치과대학,,37.57757273,126.9978632,마을버스
버스정류장,이화사거리,,37.57694834,127.0020085,마을버스
버스정류장,서울대학교병원현관.암병원현관,,37.57908728,126.9981632,마을버스
버스정류장,종각.공평유적전시관,,37.57159379,126.9832427,마을버스
버스정류장,조계사,,37.57360211,126.9831364,마을버스
버스정류장,동대문역JW메리어트동대문호텔,,37.57063698,127.0092821,일반차로
버스정류장,대학로,,37.58189612,127.0021204,일반차로
버스정류장,창경궁,,37.57915963,126.9964163,일반차로
버스정류장,창덕궁,,37.57753017,126.9901776,일반차로
버스정류장,인사동.북촌,,37.57589502,126.9837978,일반차로
버스정류장,경복궁.국립민속박물관,,37.57933918,126.9795487,일반차로
버스정류장,세종문화회관,,37.57313885,126.976912,일반차로
버스정류장,통인시장,,37.57911876,126.9713316,일반차로
버스정류장,세종문화회관,,37.57315586,126.9770139,일반차로
버스정류장,종각역,,37.56937996,126.9828944,일반차로
버스정류장,인사동.탑골공원,,37.57011554,126.9888006,일반차로
버스정류장,종묘.세운상가,,37.57037362,126.9934997,일반차로
버스정류장,광장시장,,37.57075214,126.9996789,일반차로
버스정류장,동묘.숭인동도깨비시장,,37.5734766,127.0180439,일반차로
버스정류장,서울풍물시장,,37.57334003,127.0231781,일반차로
버스정류장,청와대,,37.58268481,126.97376,일반차로
버스정류장,남대문세무서,,37.56498481,126.9875299,중앙차로
버스정류장,국가인권위.안중근활동터,,37.56435047,126.9878515,중앙차로
버스정류장,서울역버스환승센터,,37.55514602,126.9722571,중앙차로
버스정류장,서울역버스환승센터,,37.55540298,126.9725925,중앙차로
버스정류장,서울역버스환승센터,,37.55538899,126.9727238,중앙차로
버스정류장,서울역버스환승센터,,37.55547941,126.9728548,중앙차로
버스정류장,서울역버스환승센터.강우규의거터,,37.55541416,126.9729403,중앙차로
버스정류장,숭례문,,37.55863886,126.9737784,중앙차로
버스정류장,숭례문(가상),,37.55979677,126.9743556,가상정류장
버스정류장,서울시청,,37.56613826,126.9806321,일반차로
버스정류장,만리동고개,,37.55178706,126.9626582,일반차로
버스정류장,손기정체육공원입구,,37.55444595,126.9662339,일반차로
버스정류장,서울의료보건고등학교.서울역서부,,37.5558479,126.9689026,일반차로
버스정류장,서울역서부,,37.55623764,126.9691514,일반차로
버스정류장,서울역서부,,37.555855,126.969293,일반차로
버스정류장,중림동교차로,,37.55838363,126.9691354,일반차로
버스정류장,종근당.충정로역,,37.55964888,126.9645408,일반차로
버스정류장,한국경제신문사.서소문역사공원,,37.56021115,126.967868,일반차로
버스정류장,한국경제신문사.서소문역사공원,,37.56062347,126.9681135,일반차로
버스정류장,경찰청.동북아역사재단,,37.56304949,126.9691267,일반차로
버스정류장,장충동써미트호텔,,37.56227366,127.006675,일반차로
버스정류장,서대문경찰서.농협은행.유관순활동터,,37.56490628,126.9677868,일반차로
버스정류장,염천교,,37.55986963,126.9731141,일반차로
버스정류장,숭례문,,37.55840106,126.9733579,일반차로
버스정류장,숭례문.한국일보,,37.55877131,126.9737376,일반차로
버스정류장,후암삼거리,,37.5534056,126.9759938,일반차로
버스정류장,숭례문,,37.55876338,126.9743627,일반차로
버스정류장,숭례문,,37.55841953,126.9740437,일반차로
버스정류장,숭례문,,37.55800065,126.9736279,일반차로
버스정류장,남대문시장악세사리전문상가,,37.5588724,126.9759977,일반차로
버스정류장,숭례문남산방향,,37.55855816,126.9756721,일반차로
버스정류장,남대문시장,,37.56119108,126.9800598,일반차로
